metric,value
average_alignment_r2,0.7297778781255086
standard_error_alignment_r2,0.005685781873887026
average_alignment_normalized_mse,0.2702221212784449
standard_error_alignment_normalized_mse,0.005685781797539659
average_alignment_mse,0.27836401919523873
standard_error_alignment_mse,0.006734784291909796
average_alignment_shuffled_r2,-0.009872296365598837
standard_error_alignment_shuffled_r2,0.0002580880672322991
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
