metric,value
average_alignment_r2,0.6735141968727112
standard_error_alignment_r2,0.007728404378763985
average_alignment_normalized_mse,0.3264858027299245
standard_error_alignment_normalized_mse,0.007728404740783026
average_alignment_mse,0.3337211994330088
standard_error_alignment_mse,0.009051883320778886
average_alignment_shuffled_r2,-0.020304330537716547
standard_error_alignment_shuffled_r2,0.0005251706975345178
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
