metric,value
average_alignment_r2,0.7291766333580018
standard_error_alignment_r2,0.006849225538967366
average_alignment_normalized_mse,0.27082336088021597
standard_error_alignment_normalized_mse,0.006849225670402655
average_alignment_mse,0.2750964593887329
standard_error_alignment_mse,0.007413893917273335
average_alignment_shuffled_r2,-0.024096449166536332
standard_error_alignment_shuffled_r2,0.0007536784450375576
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
