metric,value
average_alignment_r2,0.8504595828056335
standard_error_alignment_r2,0.005049187654437759
average_alignment_normalized_mse,0.14954041711986066
standard_error_alignment_normalized_mse,0.005049187537574162
average_alignment_mse,0.15050796397030353
standard_error_alignment_mse,0.005128189009324592
average_alignment_shuffled_r2,-0.009938204693607986
standard_error_alignment_shuffled_r2,0.0004321913232484792
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
