metric,value
average_alignment_r2,0.8068206012248993
standard_error_alignment_r2,0.006608345757331347
average_alignment_normalized_mse,0.19317940048873425
standard_error_alignment_normalized_mse,0.006608345709373277
average_alignment_mse,0.1965374005585909
standard_error_alignment_mse,0.00715409647792285
average_alignment_shuffled_r2,-0.00997028308454901
standard_error_alignment_shuffled_r2,0.00039966054405577166
average_alignment_neural_predictivity,0.8980930584669113
standard_error_alignment_neural_predictivity,0.003322845393521086
average_alignment_blind_neural_predictivity,0.8789255928993225
standard_error_alignment_blind_neural_predictivity,0.003474335745665913
average_alignment_ps_np_gain,0.019167464908678086
standard_error_alignment_ps_np_gain,0.000997702243915116
average_alignment_shuffled_neural_predictivity,0.0032060183654539286
standard_error_alignment_shuffled_neural_predictivity,0.0001325323866892849
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
