metric,value
average_alignment_r2,0.7284835952520371
standard_error_alignment_r2,0.007426420381506861
average_alignment_normalized_mse,0.2715164056420326
standard_error_alignment_normalized_mse,0.0074264205614268915
average_alignment_mse,0.2738028579950333
standard_error_alignment_mse,0.007486762915411746
average_alignment_shuffled_r2,-0.008755313623696566
standard_error_alignment_shuffled_r2,0.0001890031946082116
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
