metric,value
average_alignment_r2,0.8422239914536476
standard_error_alignment_r2,0.01158303894304663
average_alignment_normalized_mse,0.1577760086208582
standard_error_alignment_normalized_mse,0.011583039029745428
average_alignment_mse,0.1607609296217561
standard_error_alignment_mse,0.011977890707460205
average_alignment_shuffled_r2,-0.024588430412113668
standard_error_alignment_shuffled_r2,0.0019390533258473747
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
