metric,value
average_alignment_r2,0.900666401013732
standard_error_alignment_r2,0.01105912208293657
average_alignment_normalized_mse,0.09933359913527966
standard_error_alignment_normalized_mse,0.011059121873868417
average_alignment_mse,0.09932826666161418
standard_error_alignment_mse,0.010622891338948158
average_alignment_shuffled_r2,-0.024869542885571718
standard_error_alignment_shuffled_r2,0.002552594767708091
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
