metric,value
average_alignment_r2,0.7912476897239685
standard_error_alignment_r2,0.00617876360525221
average_alignment_normalized_mse,0.20875231571495534
standard_error_alignment_normalized_mse,0.006178763586966636
average_alignment_mse,0.21069718524813652
standard_error_alignment_mse,0.006475188299206712
average_alignment_shuffled_r2,-0.019631937770172955
standard_error_alignment_shuffled_r2,0.0005391699625151615
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
