metric,value
average_alignment_r2,0.7901726937294007
standard_error_alignment_r2,0.005744473052031606
average_alignment_normalized_mse,0.20982730880379677
standard_error_alignment_normalized_mse,0.005744473186480442
average_alignment_mse,0.2115959546715021
standard_error_alignment_mse,0.005935234043411704
average_alignment_shuffled_r2,-0.018797074388712646
standard_error_alignment_shuffled_r2,0.0004049011122731713
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
