metric,value
average_alignment_r2,0.7878061550855636
standard_error_alignment_r2,0.005793900594810464
average_alignment_normalized_mse,0.21219384402036667
standard_error_alignment_normalized_mse,0.005793900581730666
average_alignment_mse,0.21421897433698178
standard_error_alignment_mse,0.0059946708160249496
average_alignment_shuffled_r2,-0.019435024289414286
standard_error_alignment_shuffled_r2,0.0006966007486351937
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
