metric,value
average_alignment_r2,0.8748059420287609
standard_error_alignment_r2,0.015333603604351076
average_alignment_normalized_mse,0.1251940567418933
standard_error_alignment_normalized_mse,0.015333603801690947
average_alignment_mse,0.1286862426623702
standard_error_alignment_mse,0.01648675782083997
average_alignment_shuffled_r2,-0.03168153077363968
standard_error_alignment_shuffled_r2,0.003245264016023519
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
