metric,value
average_alignment_r2,0.8505850410461426
standard_error_alignment_r2,0.007231858710848553
average_alignment_normalized_mse,0.1494149586930871
standard_error_alignment_normalized_mse,0.007231858717253169
average_alignment_mse,0.1520937615633011
standard_error_alignment_mse,0.007721588979662207
average_alignment_shuffled_r2,-0.02244771020486951
standard_error_alignment_shuffled_r2,0.0011562080195430782
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
