metric,value
average_alignment_r2,0.8999629470705987
standard_error_alignment_r2,0.009299060132341257
average_alignment_normalized_mse,0.10003705192357301
standard_error_alignment_normalized_mse,0.009299060100265932
average_alignment_mse,0.1017437713034451
standard_error_alignment_mse,0.010037400306569261
average_alignment_shuffled_r2,-0.024279326684772968
standard_error_alignment_shuffled_r2,0.001514482265511095
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
