metric,value
average_alignment_r2,0.9018635207414627
standard_error_alignment_r2,0.007673493578565721
average_alignment_normalized_mse,0.09813648028299213
standard_error_alignment_normalized_mse,0.007673494002236249
average_alignment_mse,0.09946923226118087
standard_error_alignment_mse,0.00793150639387159
average_alignment_shuffled_r2,-0.02763586168177426
standard_error_alignment_shuffled_r2,0.0021392100333996323
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
