metric,value
average_alignment_r2,0.8442698341608047
standard_error_alignment_r2,0.006636900899263916
average_alignment_normalized_mse,0.15573016850277782
standard_error_alignment_normalized_mse,0.006636900976677983
average_alignment_mse,0.15770163089036943
standard_error_alignment_mse,0.006825915680061728
average_alignment_shuffled_r2,-0.02237960632890463
standard_error_alignment_shuffled_r2,0.0010678279534685603
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
