metric,value
average_alignment_r2,0.8027161782979966
standard_error_alignment_r2,0.005929720320299666
average_alignment_normalized_mse,0.19728382490575314
standard_error_alignment_normalized_mse,0.005929720390427917
average_alignment_mse,0.19835293546319008
standard_error_alignment_mse,0.006205654109658657
average_alignment_shuffled_r2,-0.019532268699258566
standard_error_alignment_shuffled_r2,0.0005945570155935993
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
