metric,value
average_alignment_r2,0.8579052171111107
standard_error_alignment_r2,0.007517405908956433
average_alignment_normalized_mse,0.1420947839692235
standard_error_alignment_normalized_mse,0.0075174062335826315
average_alignment_mse,0.14475136004388334
standard_error_alignment_mse,0.008116241533382989
average_alignment_shuffled_r2,-0.021323915245011447
standard_error_alignment_shuffled_r2,0.0009542008604963104
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
