metric,value
average_alignment_r2,0.8518248206377029
standard_error_alignment_r2,0.00597867875461861
average_alignment_normalized_mse,0.14817517563700677
standard_error_alignment_normalized_mse,0.005978678365949272
average_alignment_mse,0.15099114242941142
standard_error_alignment_mse,0.006543258121668945
average_alignment_shuffled_r2,-0.020713603971526027
standard_error_alignment_shuffled_r2,0.0009172556128947768
average_alignment_neural_predictivity,0.9229198229312897
standard_error_alignment_neural_predictivity,0.0030820357535016043
average_alignment_blind_neural_predictivity,0.9056079548597336
standard_error_alignment_blind_neural_predictivity,0.0034421805626262255
average_alignment_ps_np_gain,0.017311866586096583
standard_error_alignment_ps_np_gain,0.0011302702768546012
average_alignment_shuffled_neural_predictivity,0.003105980959662702
standard_error_alignment_shuffled_neural_predictivity,0.00013570014255098248
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
