metric,value
average_alignment_r2,0.8144144338369369
standard_error_alignment_r2,0.006129381539217934
average_alignment_normalized_mse,0.18558556392788886
standard_error_alignment_normalized_mse,0.006129381816448534
average_alignment_mse,0.18685061015188695
standard_error_alignment_mse,0.00633222032203648
average_alignment_shuffled_r2,-0.01859776013530791
standard_error_alignment_shuffled_r2,0.0004360396222828837
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
