metric,value
average_alignment_r2,0.8595574074983596
standard_error_alignment_r2,0.005854964215767025
average_alignment_normalized_mse,0.14044259279966353
standard_error_alignment_normalized_mse,0.005854964542186493
average_alignment_mse,0.14156101938337087
standard_error_alignment_mse,0.006123045718017519
average_alignment_shuffled_r2,-0.019946893425658346
standard_error_alignment_shuffled_r2,0.0008616576573203171
average_alignment_neural_predictivity,0.927087966799736
standard_error_alignment_neural_predictivity,0.003064489161517266
average_alignment_blind_neural_predictivity,0.9099881726503373
standard_error_alignment_blind_neural_predictivity,0.0034930791235025438
average_alignment_ps_np_gain,0.017099795159883798
standard_error_alignment_ps_np_gain,0.0009108459472569075
average_alignment_shuffled_neural_predictivity,0.003456424545729533
standard_error_alignment_shuffled_neural_predictivity,0.000134718012826723
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
