metric,value
average_alignment_r2,0.798990068435669
standard_error_alignment_r2,0.006038648604867028
average_alignment_normalized_mse,0.20100993029773234
standard_error_alignment_normalized_mse,0.006038648396120094
average_alignment_mse,0.2020268614590168
standard_error_alignment_mse,0.006158704249791275
average_alignment_shuffled_r2,-0.019122633999213576
standard_error_alignment_shuffled_r2,0.0004029157857917606
average_alignment_neural_predictivity,0.8932375133037567
standard_error_alignment_neural_predictivity,0.003234639443860208
average_alignment_blind_neural_predictivity,0.862513964176178
standard_error_alignment_blind_neural_predictivity,0.0037939846496754456
average_alignment_ps_np_gain,0.03072355116251856
standard_error_alignment_ps_np_gain,0.001169316352943026
average_alignment_shuffled_neural_predictivity,0.0031307990208733825
standard_error_alignment_shuffled_neural_predictivity,0.00013366976151019718
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
