metric,value
average_alignment_r2,0.8450493723154068
standard_error_alignment_r2,0.0070252307048323135
average_alignment_normalized_mse,0.15495062839239837
standard_error_alignment_normalized_mse,0.007025230514521877
average_alignment_mse,0.1571118400990963
standard_error_alignment_mse,0.007357140067279581
average_alignment_shuffled_r2,-0.02096529838629067
standard_error_alignment_shuffled_r2,0.0008402595232961293
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
