metric,value
average_alignment_r2,0.8081099599599838
standard_error_alignment_r2,0.005572202108928901
average_alignment_normalized_mse,0.19189003743231298
standard_error_alignment_normalized_mse,0.005572202093807925
average_alignment_mse,0.19314706958830358
standard_error_alignment_mse,0.005731660032167778
average_alignment_shuffled_r2,-0.018327952865511178
standard_error_alignment_shuffled_r2,0.0004140049193199576
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
