metric,value
average_alignment_r2,0.880048143863678
standard_error_alignment_r2,0.015442107928844035
average_alignment_normalized_mse,0.11995185904204846
standard_error_alignment_normalized_mse,0.015442107240307965
average_alignment_mse,0.12078769333660602
standard_error_alignment_mse,0.015219657303445095
average_alignment_shuffled_r2,-0.027788591878488658
standard_error_alignment_shuffled_r2,0.002276762869598853
average_alignment_neural_predictivity,0.9460295659303665
standard_error_alignment_neural_predictivity,0.00407070640533846
average_alignment_blind_neural_predictivity,0.9426033848524094
standard_error_alignment_blind_neural_predictivity,0.0037594956637443887
average_alignment_ps_np_gain,0.003426183523260988
standard_error_alignment_ps_np_gain,0.001017700550426783
average_alignment_shuffled_neural_predictivity,0.0030362323226290756
standard_error_alignment_shuffled_neural_predictivity,0.00014338321640268797
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
