metric,value
average_alignment_r2,0.8486776912212372
standard_error_alignment_r2,0.008607329305475845
average_alignment_normalized_mse,0.15132230918854475
standard_error_alignment_normalized_mse,0.00860732947168012
average_alignment_mse,0.15466420155018568
standard_error_alignment_mse,0.0091313123808574
average_alignment_shuffled_r2,-0.02282978568226099
standard_error_alignment_shuffled_r2,0.0019262302671026108
average_alignment_neural_predictivity,0.9231926769018173
standard_error_alignment_neural_predictivity,0.0038450577080497046
average_alignment_blind_neural_predictivity,0.9077259236574173
standard_error_alignment_blind_neural_predictivity,0.004225344550682684
average_alignment_ps_np_gain,0.015466753337532281
standard_error_alignment_ps_np_gain,0.001158667558733778
average_alignment_shuffled_neural_predictivity,0.0031590854114620015
standard_error_alignment_shuffled_neural_predictivity,0.0001477641213788211
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
