metric,value
average_alignment_r2,0.8116631102561951
standard_error_alignment_r2,0.005889074109498984
average_alignment_normalized_mse,0.18833689264953135
standard_error_alignment_normalized_mse,0.005889074080718317
average_alignment_mse,0.18998286463320255
standard_error_alignment_mse,0.0061898001064176365
average_alignment_shuffled_r2,-0.019232762232422828
standard_error_alignment_shuffled_r2,0.0005851597549525175
average_alignment_neural_predictivity,0.9007785528898239
standard_error_alignment_neural_predictivity,0.0029742961605610458
average_alignment_blind_neural_predictivity,0.8707495170831681
standard_error_alignment_blind_neural_predictivity,0.0038914502471010587
average_alignment_ps_np_gain,0.030029036444611846
standard_error_alignment_ps_np_gain,0.0013540999702847888
average_alignment_shuffled_neural_predictivity,0.003304411628632806
standard_error_alignment_shuffled_neural_predictivity,0.00015422652033418767
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
