metric,value
average_alignment_r2,0.8655683835595847
standard_error_alignment_r2,0.027353570622788693
average_alignment_normalized_mse,0.13443161768838763
standard_error_alignment_normalized_mse,0.027353570990225045
average_alignment_mse,0.136744741871953
standard_error_alignment_mse,0.027945442045110326
average_alignment_shuffled_r2,-0.03623631920665502
standard_error_alignment_shuffled_r2,0.006840584542761548
average_alignment_neural_predictivity,0.9473062568902969
standard_error_alignment_neural_predictivity,0.005311170824296274
average_alignment_blind_neural_predictivity,0.938518128991127
standard_error_alignment_blind_neural_predictivity,0.005889662559498842
average_alignment_ps_np_gain,0.008788131381152198
standard_error_alignment_ps_np_gain,0.0012033359067502153
average_alignment_shuffled_neural_predictivity,0.0031776578573044388
standard_error_alignment_shuffled_neural_predictivity,0.00015490747855301178
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
