metric,value
average_alignment_r2,0.8039585568010807
standard_error_alignment_r2,0.008095722156435307
average_alignment_normalized_mse,0.19604144252836705
standard_error_alignment_normalized_mse,0.008095722151695626
average_alignment_mse,0.19806376419961452
standard_error_alignment_mse,0.00823398740856373
average_alignment_shuffled_r2,-0.01868982931599021
standard_error_alignment_shuffled_r2,0.0005951776047881457
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
