metric,value
average_alignment_r2,0.8633528909087181
standard_error_alignment_r2,0.00885471422317232
average_alignment_normalized_mse,0.13664710957556964
standard_error_alignment_normalized_mse,0.008854714551467592
average_alignment_mse,0.13895721033215522
standard_error_alignment_mse,0.009436582188661589
average_alignment_shuffled_r2,-0.02158099751919508
standard_error_alignment_shuffled_r2,0.001582854189762071
average_alignment_neural_predictivity,0.9311443537473678
standard_error_alignment_neural_predictivity,0.003629586742341885
average_alignment_blind_neural_predictivity,0.9165816974639892
standard_error_alignment_blind_neural_predictivity,0.00379215576892991
average_alignment_ps_np_gain,0.014562657324131579
standard_error_alignment_ps_np_gain,0.001151624389299859
average_alignment_shuffled_neural_predictivity,0.0033464401384117083
standard_error_alignment_shuffled_neural_predictivity,0.00014288672916857453
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
