metric,value
average_alignment_r2,0.9106515711545944
standard_error_alignment_r2,0.005819233587887753
average_alignment_normalized_mse,0.08934842912480236
standard_error_alignment_normalized_mse,0.005819233395253571
average_alignment_mse,0.09071298938244582
standard_error_alignment_mse,0.006074131068048917
average_alignment_shuffled_r2,-0.023094145078212024
standard_error_alignment_shuffled_r2,0.0011842182323087511
average_alignment_neural_predictivity,0.9542173385620117
standard_error_alignment_neural_predictivity,0.002811362378273114
average_alignment_blind_neural_predictivity,0.9466166520118713
standard_error_alignment_blind_neural_predictivity,0.003063443637320318
average_alignment_ps_np_gain,0.007600686119985767
standard_error_alignment_ps_np_gain,0.0008308075072169033
average_alignment_shuffled_neural_predictivity,0.0033514601259958
standard_error_alignment_shuffled_neural_predictivity,0.00016438031349558607
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
