metric,value
average_alignment_r2,0.7922542154788971
standard_error_alignment_r2,0.0057979781528932515
average_alignment_normalized_mse,0.20774578131735325
standard_error_alignment_normalized_mse,0.0057979775465239695
average_alignment_mse,0.20983781576156615
standard_error_alignment_mse,0.0060577945260197556
average_alignment_shuffled_r2,-0.019344016844406724
standard_error_alignment_shuffled_r2,0.0006665059377898026
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
