metric,value
average_alignment_r2,0.7981400191783905
standard_error_alignment_r2,0.00544247857941978
average_alignment_normalized_mse,0.20185998141765593
standard_error_alignment_normalized_mse,0.00544247848023855
average_alignment_mse,0.2026125682890415
standard_error_alignment_mse,0.0055612355438026525
average_alignment_shuffled_r2,-0.018728082701563835
standard_error_alignment_shuffled_r2,0.00048102741086706
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
