metric,value
average_alignment_r2,0.8985303446650506
standard_error_alignment_r2,0.010419933099885514
average_alignment_normalized_mse,0.10146965738385916
standard_error_alignment_normalized_mse,0.010419932834847751
average_alignment_mse,0.10257633291184902
standard_error_alignment_mse,0.010672291634742655
average_alignment_shuffled_r2,-0.0254373290669173
standard_error_alignment_shuffled_r2,0.0019313732176267737
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
