metric,value
average_alignment_r2,0.8546194556355476
standard_error_alignment_r2,0.007707092590694904
average_alignment_normalized_mse,0.14538054585456847
standard_error_alignment_normalized_mse,0.007707092524162074
average_alignment_mse,0.1511480325460434
standard_error_alignment_mse,0.010277629055151609
average_alignment_shuffled_r2,-0.020989539651200175
standard_error_alignment_shuffled_r2,0.0011472151071633347
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
