metric,value
average_alignment_r2,0.9099615222215652
standard_error_alignment_r2,0.007267336522063142
average_alignment_normalized_mse,0.09003847619518637
standard_error_alignment_normalized_mse,0.007267336457119039
average_alignment_mse,0.0908351674117148
standard_error_alignment_mse,0.007674148629358633
average_alignment_shuffled_r2,-0.023667907053604723
standard_error_alignment_shuffled_r2,0.0014952994559755517
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
