metric,value
average_alignment_r2,0.854114339351654
standard_error_alignment_r2,0.00793066188669779
average_alignment_normalized_mse,0.14588565785437824
standard_error_alignment_normalized_mse,0.00793066174677843
average_alignment_mse,0.1484955495223403
standard_error_alignment_mse,0.008366432041693761
average_alignment_shuffled_r2,-0.021876916782930494
standard_error_alignment_shuffled_r2,0.00104731332977384
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
