metric,value
average_alignment_r2,0.8506166988611221
standard_error_alignment_r2,0.007509462104058851
average_alignment_normalized_mse,0.14938329864293337
standard_error_alignment_normalized_mse,0.007509462063019582
average_alignment_mse,0.15177931856364013
standard_error_alignment_mse,0.007812197388694789
average_alignment_shuffled_r2,-0.02192008906044066
standard_error_alignment_shuffled_r2,0.0010696896809818867
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
