metric,value
average_alignment_r2,0.8112145042419434
standard_error_alignment_r2,0.004409348496354571
average_alignment_normalized_mse,0.18878549829125404
standard_error_alignment_normalized_mse,0.004409348315078174
average_alignment_mse,0.18984378337860108
standard_error_alignment_mse,0.004580963573230991
average_alignment_shuffled_r2,-0.017839758936315776
standard_error_alignment_shuffled_r2,0.0003499337842391349
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
