metric,value
average_alignment_r2,0.9043377387523651
standard_error_alignment_r2,0.005590735567181323
average_alignment_normalized_mse,0.09566226098686456
standard_error_alignment_normalized_mse,0.0055907355846836
average_alignment_mse,0.09656553134322167
standard_error_alignment_mse,0.005775367092237774
average_alignment_shuffled_r2,-0.02652098230086267
standard_error_alignment_shuffled_r2,0.0016374203248592915
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
