metric,value
average_alignment_r2,0.8565818488597869
standard_error_alignment_r2,0.007328243358009255
average_alignment_normalized_mse,0.1434181561693549
standard_error_alignment_normalized_mse,0.0073282435130921
average_alignment_mse,0.144838871024549
standard_error_alignment_mse,0.007715127983966248
average_alignment_shuffled_r2,-0.020475524375215173
standard_error_alignment_shuffled_r2,0.0010658799568727742
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
