metric,value
average_alignment_r2,0.813766365647316
standard_error_alignment_r2,0.005040322185730468
average_alignment_normalized_mse,0.18623363628983497
standard_error_alignment_normalized_mse,0.0050403218388461145
average_alignment_mse,0.18768714249134064
standard_error_alignment_mse,0.005335690730716301
average_alignment_shuffled_r2,-0.0180690601374954
standard_error_alignment_shuffled_r2,0.0004724096782425968
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
