metric,value
average_alignment_r2,0.911606165766716
standard_error_alignment_r2,0.005886915046148067
average_alignment_normalized_mse,0.0883938374184072
standard_error_alignment_normalized_mse,0.005886915098254597
average_alignment_mse,0.08815276816487312
standard_error_alignment_mse,0.005599812588597594
average_alignment_shuffled_r2,-0.02342960991896689
standard_error_alignment_shuffled_r2,0.0012698974836208347
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
