metric,value
average_alignment_r2,0.8454826459288597
standard_error_alignment_r2,0.0074618842545262605
average_alignment_normalized_mse,0.15451735258102417
standard_error_alignment_normalized_mse,0.007461884308495677
average_alignment_mse,0.15725203964859247
standard_error_alignment_mse,0.008160812626865233
average_alignment_shuffled_r2,-0.02241653360426426
standard_error_alignment_shuffled_r2,0.0015528573965582445
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
