metric,value
average_alignment_r2,0.8912163305282593
standard_error_alignment_r2,0.007684179791015251
average_alignment_normalized_mse,0.10878367034718395
standard_error_alignment_normalized_mse,0.007684179896676234
average_alignment_mse,0.1105571948736906
standard_error_alignment_mse,0.008023000411321535
average_alignment_shuffled_r2,-0.0295048950612545
standard_error_alignment_shuffled_r2,0.0022872945444204922
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
