metric,value
average_alignment_r2,0.8535658371448517
standard_error_alignment_r2,0.0070322280202652614
average_alignment_normalized_mse,0.1464341637864709
standard_error_alignment_normalized_mse,0.007032228054603959
average_alignment_mse,0.1489614964649081
standard_error_alignment_mse,0.007559821000022134
average_alignment_shuffled_r2,-0.021499599581584334
standard_error_alignment_shuffled_r2,0.0010341098051236176
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
