metric,value
average_alignment_r2,0.8056422603130341
standard_error_alignment_r2,0.005151910543528307
average_alignment_normalized_mse,0.19435774073004722
standard_error_alignment_normalized_mse,0.005151910542692671
average_alignment_mse,0.1961557773500681
standard_error_alignment_mse,0.0053766799443295335
average_alignment_shuffled_r2,-0.019349410971626638
standard_error_alignment_shuffled_r2,0.0005462435592195763
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
