metric,value
average_alignment_r2,0.9130986458063126
standard_error_alignment_r2,0.004829118454718545
average_alignment_normalized_mse,0.08690135115757584
standard_error_alignment_normalized_mse,0.004829118385199014
average_alignment_mse,0.08864424398168921
standard_error_alignment_mse,0.005210979056121234
average_alignment_shuffled_r2,-0.021768024051561953
standard_error_alignment_shuffled_r2,0.0008818729530798155
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
