metric,value
average_alignment_r2,0.76340651512146
standard_error_alignment_r2,0.007101676447051492
average_alignment_normalized_mse,0.23659348480403422
standard_error_alignment_normalized_mse,0.007101676688810431
average_alignment_mse,0.23996523275971413
standard_error_alignment_mse,0.007459987372932459
average_alignment_shuffled_r2,-0.009193344684317708
standard_error_alignment_shuffled_r2,0.00020820270979345347
average_alignment_neural_predictivity,0.8707457673549652
standard_error_alignment_neural_predictivity,0.004171429337634206
average_alignment_blind_neural_predictivity,0.8389329946041107
standard_error_alignment_blind_neural_predictivity,0.004814694892949445
average_alignment_ps_np_gain,0.03181277402443811
standard_error_alignment_ps_np_gain,0.0011616759802924614
average_alignment_shuffled_neural_predictivity,0.003263549950206652
standard_error_alignment_shuffled_neural_predictivity,0.0001348321806782998
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
