metric,value
average_alignment_r2,0.8853615790605545
standard_error_alignment_r2,0.005327406776555144
average_alignment_normalized_mse,0.11463842235505581
standard_error_alignment_normalized_mse,0.0053274067461649135
average_alignment_mse,0.11531403250992298
standard_error_alignment_mse,0.005456644892216749
average_alignment_shuffled_r2,-0.009553525890223681
standard_error_alignment_shuffled_r2,0.00043790316829049505
average_alignment_neural_predictivity,0.9395376598834991
standard_error_alignment_neural_predictivity,0.002784302176255907
average_alignment_blind_neural_predictivity,0.9293892353773117
standard_error_alignment_blind_neural_predictivity,0.003106335160464252
average_alignment_ps_np_gain,0.010148423661012202
standard_error_alignment_ps_np_gain,0.0007655343379144911
average_alignment_shuffled_neural_predictivity,0.0032846800854895264
standard_error_alignment_shuffled_neural_predictivity,0.00013671010256743895
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
