metric,value
average_alignment_r2,0.7920327299833297
standard_error_alignment_r2,0.006675484380862485
average_alignment_normalized_mse,0.2079672671854496
standard_error_alignment_normalized_mse,0.00667548422256514
average_alignment_mse,0.21079774096608161
standard_error_alignment_mse,0.007083637792555934
average_alignment_shuffled_r2,-0.008685915442183613
standard_error_alignment_shuffled_r2,0.0001605034488890911
average_alignment_neural_predictivity,0.888056629896164
standard_error_alignment_neural_predictivity,0.003613948254506204
average_alignment_blind_neural_predictivity,0.8708878731727601
standard_error_alignment_blind_neural_predictivity,0.00438936396893708
average_alignment_ps_np_gain,0.017168759580235927
standard_error_alignment_ps_np_gain,0.001194469650799134
average_alignment_shuffled_neural_predictivity,0.003272975735599175
standard_error_alignment_shuffled_neural_predictivity,0.0001479202800067195
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
