metric,value
average_alignment_r2,0.7573738074302674
standard_error_alignment_r2,0.004740684103304761
average_alignment_normalized_mse,0.24262619212269784
standard_error_alignment_normalized_mse,0.004740684026687101
average_alignment_mse,0.24462411150336266
standard_error_alignment_mse,0.004907856522356939
average_alignment_shuffled_r2,-0.008657897650264203
standard_error_alignment_shuffled_r2,0.00014976254531206884
average_alignment_neural_predictivity,0.8688433235883712
standard_error_alignment_neural_predictivity,0.0026625343548302596
average_alignment_blind_neural_predictivity,0.8445362991094589
standard_error_alignment_blind_neural_predictivity,0.0028622971850864446
average_alignment_ps_np_gain,0.024307024236768483
standard_error_alignment_ps_np_gain,0.0008773614758360108
average_alignment_shuffled_neural_predictivity,0.003282715673558414
standard_error_alignment_shuffled_neural_predictivity,0.00012135759624415023
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
