metric,value
average_alignment_r2,0.7670037003979087
standard_error_alignment_r2,0.09212631105526084
average_alignment_normalized_mse,0.2329962969571352
standard_error_alignment_normalized_mse,0.0921263110772895
average_alignment_mse,0.24169182635843753
standard_error_alignment_mse,0.09761750159229796
average_alignment_shuffled_r2,-0.03504988063592464
standard_error_alignment_shuffled_r2,0.013912526037462755
average_alignment_neural_predictivity,0.9378742963075638
standard_error_alignment_neural_predictivity,0.005591836041455559
average_alignment_blind_neural_predictivity,0.9295323392748833
standard_error_alignment_blind_neural_predictivity,0.006641743334249528
average_alignment_ps_np_gain,0.00834195463976357
standard_error_alignment_ps_np_gain,0.004040108523193463
average_alignment_shuffled_neural_predictivity,0.003128537771117408
standard_error_alignment_shuffled_neural_predictivity,0.000174923383667082
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
