metric,value
average_alignment_r2,0.9127943307161331
standard_error_alignment_r2,0.0060401385921403684
average_alignment_normalized_mse,0.08720566870644689
standard_error_alignment_normalized_mse,0.006040138479346035
average_alignment_mse,0.08756307704374194
standard_error_alignment_mse,0.006131347647533069
average_alignment_shuffled_r2,-0.02451429272070527
standard_error_alignment_shuffled_r2,0.0018099795048496874
average_alignment_neural_predictivity,0.9559783279895783
standard_error_alignment_neural_predictivity,0.002780206922228744
average_alignment_blind_neural_predictivity,0.9513590782880783
standard_error_alignment_blind_neural_predictivity,0.002927208478009775
average_alignment_ps_np_gain,0.004619245096109808
standard_error_alignment_ps_np_gain,0.0007470237742289449
average_alignment_shuffled_neural_predictivity,0.0030045142339076847
standard_error_alignment_shuffled_neural_predictivity,0.0001433131080493787
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
