metric,value
average_alignment_r2,0.856215796470642
standard_error_alignment_r2,0.005227023665437527
average_alignment_normalized_mse,0.14378420278429985
standard_error_alignment_normalized_mse,0.005227023830554712
average_alignment_mse,0.1457536121085286
standard_error_alignment_mse,0.0055181106580044674
average_alignment_shuffled_r2,-0.020435909014195203
standard_error_alignment_shuffled_r2,0.0006494201491917127
average_alignment_neural_predictivity,0.9254473227262497
standard_error_alignment_neural_predictivity,0.0026280794459341383
average_alignment_blind_neural_predictivity,0.9073621678352356
standard_error_alignment_blind_neural_predictivity,0.0031684140573959643
average_alignment_ps_np_gain,0.018085155552253127
standard_error_alignment_ps_np_gain,0.0012425663258513304
average_alignment_shuffled_neural_predictivity,0.0032484341243980454
standard_error_alignment_shuffled_neural_predictivity,0.00012446767016658256
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
