metric,value
average_alignment_r2,0.8150792211294174
standard_error_alignment_r2,0.005123596047999399
average_alignment_normalized_mse,0.18492077827453612
standard_error_alignment_normalized_mse,0.005123595978932949
average_alignment_mse,0.18562451027333737
standard_error_alignment_mse,0.005207952025470241
average_alignment_shuffled_r2,-0.017825740864500405
standard_error_alignment_shuffled_r2,0.00037940556644491775
average_alignment_neural_predictivity,0.9015340805053711
standard_error_alignment_neural_predictivity,0.002767141573217062
average_alignment_blind_neural_predictivity,0.8727792942523956
standard_error_alignment_blind_neural_predictivity,0.0035046190153301938
average_alignment_ps_np_gain,0.028754789279773832
standard_error_alignment_ps_np_gain,0.0011656856001354401
average_alignment_shuffled_neural_predictivity,0.0030864938674494626
standard_error_alignment_shuffled_neural_predictivity,0.00011508014295766894
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
