metric,value
average_alignment_r2,0.9114137274026871
standard_error_alignment_r2,0.006694876889124871
average_alignment_normalized_mse,0.08858627470210195
standard_error_alignment_normalized_mse,0.006694876826426317
average_alignment_mse,0.08891464497894049
standard_error_alignment_mse,0.006819401766687229
average_alignment_shuffled_r2,-0.02406025507487357
standard_error_alignment_shuffled_r2,0.002122568518755691
average_alignment_neural_predictivity,0.9544363850355149
standard_error_alignment_neural_predictivity,0.003150961339681177
average_alignment_blind_neural_predictivity,0.9461915844678879
standard_error_alignment_blind_neural_predictivity,0.003573717768250584
average_alignment_ps_np_gain,0.008244798383675516
standard_error_alignment_ps_np_gain,0.0008067732569677461
average_alignment_shuffled_neural_predictivity,0.0031348979385802524
standard_error_alignment_shuffled_neural_predictivity,0.00013794028044258015
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
