metric,value
average_alignment_r2,0.8568083143234253
standard_error_alignment_r2,0.006393018313225254
average_alignment_normalized_mse,0.14319168556481598
standard_error_alignment_normalized_mse,0.006393018542451179
average_alignment_mse,0.14571553628891706
standard_error_alignment_mse,0.006902665165361958
average_alignment_shuffled_r2,-0.020259874938055873
standard_error_alignment_shuffled_r2,0.0007862992924701108
average_alignment_neural_predictivity,0.9259002810716629
standard_error_alignment_neural_predictivity,0.0030946935912494786
average_alignment_blind_neural_predictivity,0.9088748300075531
standard_error_alignment_blind_neural_predictivity,0.0038251221233512414
average_alignment_ps_np_gain,0.017025451959343626
standard_error_alignment_ps_np_gain,0.0015173826573080197
average_alignment_shuffled_neural_predictivity,0.0031353679561289026
standard_error_alignment_shuffled_neural_predictivity,0.00013742167332773988
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
