metric,value
average_alignment_r2,0.8155051356554032
standard_error_alignment_r2,0.005922509677339536
average_alignment_normalized_mse,0.18449486441910268
standard_error_alignment_normalized_mse,0.005922509873159962
average_alignment_mse,0.18554520346224307
standard_error_alignment_mse,0.006136988230545859
average_alignment_shuffled_r2,-0.017812540913000705
standard_error_alignment_shuffled_r2,0.0004036843527003609
average_alignment_neural_predictivity,0.9018554908037185
standard_error_alignment_neural_predictivity,0.003176978404144698
average_alignment_blind_neural_predictivity,0.8744799149036407
standard_error_alignment_blind_neural_predictivity,0.003878456139776282
average_alignment_ps_np_gain,0.027375572882592677
standard_error_alignment_ps_np_gain,0.001075848587102138
average_alignment_shuffled_neural_predictivity,0.0033377904194639998
standard_error_alignment_shuffled_neural_predictivity,0.00014899151347904123
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
