metric,value
average_alignment_r2,0.8887574338912964
standard_error_alignment_r2,0.005778585701035314
average_alignment_normalized_mse,0.1112425695732236
standard_error_alignment_normalized_mse,0.005778585369540801
average_alignment_mse,0.11296072147786618
standard_error_alignment_mse,0.006134889151826267
average_alignment_shuffled_r2,-0.00989765003323555
standard_error_alignment_shuffled_r2,0.0003983070786120367
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
