metric,value
average_alignment_r2,0.6016697343190511
standard_error_alignment_r2,0.009381537564297469
average_alignment_normalized_mse,0.398330264488856
standard_error_alignment_normalized_mse,0.009381537735382839
average_alignment_mse,0.4142712100346883
standard_error_alignment_mse,0.01104122426533905
average_alignment_shuffled_r2,-0.010787320031474035
standard_error_alignment_shuffled_r2,0.00031196998095417704
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
