metric,value
average_alignment_r2,0.5351866356531779
standard_error_alignment_r2,0.011916868622064428
average_alignment_normalized_mse,0.46481336335341134
standard_error_alignment_normalized_mse,0.011916868696916657
average_alignment_mse,0.47791964789231617
standard_error_alignment_mse,0.013919550800795169
average_alignment_shuffled_r2,-0.011811863649636507
standard_error_alignment_shuffled_r2,0.00041550231541163425
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
