metric,value
average_alignment_r2,0.5913693789641062
standard_error_alignment_r2,0.008607450083086847
average_alignment_normalized_mse,0.4086306176582972
standard_error_alignment_normalized_mse,0.008607450008769196
average_alignment_mse,0.4189791071414948
standard_error_alignment_mse,0.009441104034285785
average_alignment_shuffled_r2,-0.009419895118723313
standard_error_alignment_shuffled_r2,0.00015240922854241717
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
