metric,value
average_alignment_r2,0.5419698210557302
standard_error_alignment_r2,0.00917722674128441
average_alignment_normalized_mse,0.45803017616271974
standard_error_alignment_normalized_mse,0.009177226957514474
average_alignment_mse,0.4639137822389603
standard_error_alignment_mse,0.009738429742681473
average_alignment_shuffled_r2,-0.012037830588718256
standard_error_alignment_shuffled_r2,0.0005142207219696137
num_ego_agents,5
num_partner_agents,15
num_alignment_pairs,75
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
